id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1189313216143109290,"4,5 Z. mit privater Dachterrasse",53505367,Nicolas,Kreis 4,Langstrasse,47.37942289999999,8.5250523,Entire home/apt,450,1,1,2024-07-10,0.12,2,363,1,
1189604799097577202,17qm Zimmer mit Dachterrasse,53505367,Nicolas,Kreis 4,Langstrasse,47.37942289999999,8.5250523,Private room,270,1,0,,,2,365,0,
1189628875080445077,Herzlich Willkommen in Zürich I - Wohnung,9500107,Kathrin,Kreis 9,Albisrieden,47.3782,8.49684,Entire home/apt,144,1,4,2024-11-15,0.47,2,22,4,
1189829020219878342,Design Haven in Zurich,3113117,Marcella,Kreis 2,Enge,47.35465,8.52631,Entire home/apt,600,1,0,,,1,269,0,
1189873502232536861,2 Room Beautiful City Center Flat with Balcony BIR,420370006,Kamila,Kreis 3,Sihlfeld,47.37107,8.51512,Entire home/apt,,1,8,2025-03-08,0.97,91,0,8,
1189960666694066757,Charming flat in Zürich,104478672,Aldo Marcelo,Kreis 10,Höngg,47.40502,8.49326,Entire home/apt,400,1,0,,,1,365,0,
1189985143166601489,A double bedroom to rent,1954149,Branka,Kreis 11,Oerlikon,47.41223,8.54614,Private room,81,2,2,2024-07-19,0.23,1,365,2,
1190376088578038095,Luxury modern apartment in Zürich -close to nature,142351184,Thomas,Kreis 10,Höngg,47.4036123,8.4884788,Entire home/apt,152,6,0,,,1,31,0,
1190405613445870713,Charming room central Zurich,521539963,Redona,Kreis 5,Gewerbeschule,47.38578,8.52841,Private room,280,1,1,2024-07-10,0.12,1,364,1,
1190588077484491329,"Charmante Wohnung mit Garten, neben ETH/USZ",424088625,Samuel,Kreis 7,Fluntern,47.37844,8.55875,Entire home/apt,95,2,10,2024-12-17,1.17,3,20,10,
1190644154278030598,Gemütliche zentrale Wohnung mit Balkon in Wiedikon,17697878,Antonius,Kreis 3,Alt-Wiedikon,47.36957,8.51187,Entire home/apt,,2,4,2024-09-23,0.53,1,0,4,
1190665762041736465,"Large Flat, Downtown Center next to Zurich HB MU7",420370006,Kamila,Kreis 4,Werd,47.37351,8.53214,Entire home/apt,84,1,64,2025-03-17,7.68,91,321,64,
1190938914194932346,Nice room for solo travelers and couples,547714578,Olaf,Kreis 3,Sihlfeld,47.36689,8.52377,Private room,52,2,15,2025-03-01,1.76,2,183,15,
1191092025381803171,"Wipkinger-Wohnung, Nähe Letzigrund",8655069,Lisa,Kreis 10,Wipkingen,47.39486,8.51783,Entire home/apt,690,1,0,,,1,269,0,
1191118836122682079,Cute Bijoux around Idaplatz,27543643,Valentina,Kreis 3,Sihlfeld,47.37416,8.51327,Entire home/apt,260,4,1,2024-07-11,0.12,1,362,1,
1191202539586206900,Cosy appartment for the weeked,6010927,Moritz,Kreis 10,Wipkingen,47.3948453,8.5326037,Entire home/apt,105,2,8,2024-10-27,0.94,1,32,8,
1191334144424804819,Große Wohnung im Zentrum von Zürich (Kreis 3).,54188983,Mërgim,Kreis 3,Sihlfeld,47.37029,8.5243644,Entire home/apt,167,1,3,2024-09-27,0.35,1,364,3,
1191406633005602491,2 Room Apartment Zurich Center,89349186,Sébastien,Kreis 2,Enge,47.36421,8.52331,Entire home/apt,183,1,2,2024-09-13,0.25,1,173,2,
1191906289338753901,Apartment in Oerlikon,207487743,Kasia,Kreis 11,Seebach,47.41549,8.54352,Entire home/apt,100,4,0,,,2,71,0,
1192112381017097085,"Elegant apartment, 850m to Letzi",1521108,Désirée,Kreis 3,Sihlfeld,47.37700863096786,8.51066093891859,Entire home/apt,,1,1,2024-07-12,0.12,1,0,1,
1192517565915023121,Tolle Ferienwohnung mit Garten,405025,Tina,Kreis 9,Albisrieden,47.38025,8.50121,Entire home/apt,108,1,1,2024-08-17,0.14,1,37,1,
1192574659040212106,Gäste-Zimmer Ed Sheeran,6028318,Fabienne,Kreis 9,Altstetten,47.382600326200595,8.498995946032721,Private room,234,1,1,2024-07-11,0.12,1,2,1,
